[10.254446029663086, 2.4248251914978027]
[6.699888706207275, 1.5462266206741333]
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.65, range: 0.76 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.65, range: 0.76 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.64, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.9, max: 2.65, range: 0.75 - Actual: 0.7
Cardboard1 Predictions mean: 2.25, min: 1.89, max: 2.65, range: 0.75 - Actual: 0.7
