materials,names,spectrum_0,spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,spectrum_17,spectrum_18,spectrum_19,spectrum_20,spectrum_21,spectrum_22,spectrum_23,spectrum_24,spectrum_25,spectrum_26,spectrum_27,spectrum_28,spectrum_29,spectrum_30,spectrum_31,spectrum_32,spectrum_33,spectrum_34,spectrum_35,spectrum_36,spectrum_37,spectrum_38,spectrum_39,spectrum_40,spectrum_41,spectrum_42,spectrum_43,spectrum_44,spectrum_45,spectrum_46,spectrum_47,spectrum_48,spectrum_49,spectrum_50,spectrum_51,spectrum_52,spectrum_53,spectrum_54,spectrum_55,spectrum_56,spectrum_57,spectrum_58,spectrum_59,spectrum_60,spectrum_61,spectrum_62,spectrum_63,spectrum_64,spectrum_65,spectrum_66,spectrum_67,spectrum_68,spectrum_69,spectrum_70,spectrum_71,spectrum_72,spectrum_73,spectrum_74,spectrum_75,spectrum_76,spectrum_77,spectrum_78,spectrum_79,spectrum_80,spectrum_81,spectrum_82,spectrum_83,spectrum_84,spectrum_85,spectrum_86,spectrum_87,spectrum_88,spectrum_89,spectrum_90,spectrum_91,spectrum_92,spectrum_93,spectrum_94,spectrum_95,spectrum_96,spectrum_97,spectrum_98,spectrum_99,spectrum_100,spectrum_101,spectrum_102,spectrum_103,spectrum_104,spectrum_105,spectrum_106,spectrum_107,spectrum_108,spectrum_109,spectrum_110,spectrum_111,spectrum_112,spectrum_113,spectrum_114,spectrum_115,spectrum_116,spectrum_117,spectrum_118,spectrum_119,spectrum_120,spectrum_121,spectrum_122,spectrum_123,spectrum_124,spectrum_125,spectrum_126,spectrum_127
0,Cardboard,0.20888853,0.26861593,0.18935546,0.24750757,0.20751545,0.21390735,0.24547577,0.22439173,0.21117376,0.20692953,0.22868751,0.1982957,0.23727381,0.21980302,0.18561664,0.21896018,0.24730425,0.21417446,0.18265738,0.27360132,0.19857402,0.20169573,0.20101976,0.2078139,0.2717158,0.20912926,0.19075367,0.21377313,0.26506972,0.19818607,0.21629961,0.23803653,0.18714169,0.21259378,0.20337799,0.2451775,0.28433856,0.20306668,0.23961695,0.23915282,0.24144703,0.2600186,0.29105142,0.22204044,0.2898182,0.19469655,0.21928363,0.19769627,0.296573,0.226096,0.22555503,0.20994952,0.2244172,0.24035653,0.2797388,0.26270935,0.26795506,0.19336663,0.25998816,0.20418555,0.24895544,0.26455826,0.25962386,0.23875242,0.21462494,0.22001599,0.22437079,0.22660409,0.20623705,0.29858714,0.23974374,0.23658676,0.25864196,0.19226466,0.30914024,0.28921402,0.20879361,0.23785512,0.2638275,0.19901991,0.20870633,0.29166186,0.25266203,0.22706272,0.29110044,0.2770662,0.3030325,0.26050842,0.24033022,0.24337354,0.20684287,0.25826126,0.22895445,0.22802028,0.27115554,0.19829345,0.17569557,0.22418474,0.25116414,0.20794263,0.2154148,0.24735995,0.2745247,0.24984454,0.18426186,0.178082,0.2651013,0.26859102,0.1831106,0.20248938,0.2426051,0.20206413,0.22511071,0.23053417,0.20563568,0.19737612,0.20761378,0.2562525,0.20920867,0.25000244,0.18814059,0.23768608,0.21188444,0.23762143,0.21281204,0.21285594,0.2531051,0.22349271
0,Cardboard,0.20920165,0.26896068,0.18968631,0.24785477,0.20785794,0.21423173,0.245808,0.22473297,0.21150135,0.20725353,0.22904709,0.19860166,0.23759615,0.22011992,0.18592577,0.21928784,0.24763818,0.21451138,0.18297943,0.27394593,0.19889462,0.20201032,0.20134911,0.20815158,0.27206102,0.20947188,0.19106941,0.21408404,0.26542658,0.19849177,0.21661475,0.23835613,0.18745689,0.21291699,0.20370173,0.24553582,0.28468218,0.2033906,0.23996834,0.23949412,0.24177761,0.26036513,0.2913838,0.22238235,0.29017797,0.19501325,0.21960673,0.19801855,0.2969281,0.22641914,0.22588776,0.21025062,0.22477089,0.2406964,0.28009263,0.2630657,0.26829433,0.19368471,0.2603246,0.20451891,0.24928196,0.26489916,0.2599689,0.23908675,0.21495135,0.22036462,0.22468172,0.22693269,0.20656027,0.29893354,0.24007651,0.23692316,0.25899443,0.19256473,0.3094955,0.28955337,0.20911165,0.23817956,0.2641778,0.19935516,0.2090314,0.2919883,0.2530103,0.22739056,0.29144263,0.2774122,0.3033803,0.26085645,0.24069159,0.24370834,0.20717329,0.25860187,0.22929284,0.22836755,0.27147213,0.19862293,0.17601645,0.2245006,0.25149134,0.2082838,0.21572883,0.24768609,0.2748589,0.25018394,0.18458363,0.17840467,0.2654329,0.26893264,0.18342184,0.20280588,0.24295324,0.2023866,0.22544675,0.23088731,0.20595808,0.19767617,0.20793192,0.2566142,0.20953782,0.25034067,0.18846452,0.23802516,0.21220846,0.23795894,0.21313652,0.21318212,0.253448,0.22381805
0,Cardboard,0.20911384,0.26886404,0.1895935,0.24775742,0.20776188,0.21414074,0.24571486,0.2246372,0.21140952,0.2071627,0.22894621,0.19851588,0.23750584,0.22003111,0.18583906,0.21919593,0.24754456,0.21441689,0.18288913,0.2738493,0.19880466,0.2019221,0.20125669,0.20805682,0.27196422,0.20937577,0.19098088,0.21399686,0.2653265,0.19840604,0.21652642,0.23826656,0.1873685,0.21282636,0.20361097,0.2454353,0.28458586,0.20329973,0.23986979,0.23939843,0.24168494,0.26026788,0.2912906,0.22228646,0.2900771,0.19492443,0.21951607,0.19792819,0.29682848,0.2263285,0.22579445,0.21016619,0.22467162,0.24060108,0.27999339,0.26296574,0.26819927,0.19359548,0.26023024,0.20442544,0.24919043,0.26480356,0.25987214,0.238993,0.2148598,0.22026679,0.22459458,0.22684054,0.20646963,0.29883635,0.23998323,0.23682879,0.25889558,0.1924806,0.30939582,0.28945822,0.2090225,0.23808858,0.26407954,0.19926111,0.2089402,0.2918968,0.25291258,0.22729868,0.29134667,0.2773152,0.30328283,0.26075885,0.2405902,0.24361446,0.20708059,0.25850633,0.22919789,0.22827013,0.27138337,0.1985305,0.17592639,0.22441205,0.2513996,0.2081881,0.21564081,0.24759468,0.27476516,0.25008878,0.1844934,0.17831415,0.2653399,0.2688368,0.18333456,0.20271711,0.2428556,0.20229615,0.2253525,0.23078829,0.2058677,0.19759206,0.20784268,0.25651276,0.20944545,0.25024578,0.18837368,0.23793001,0.21211761,0.23786429,0.21304554,0.21309066,0.25335184,0.22372687
0,Cardboard,0.20915976,0.2689148,0.18964231,0.24780852,0.20781238,0.21418844,0.24576361,0.22468758,0.21145767,0.20721023,0.22899924,0.19856074,0.23755297,0.22007762,0.18588452,0.2192441,0.24759363,0.2144665,0.18293649,0.27389997,0.1988518,0.20196825,0.20130514,0.20810664,0.2720149,0.20942622,0.19102722,0.21404251,0.26537895,0.19845094,0.21657254,0.23831339,0.1874149,0.21287388,0.20365858,0.24548827,0.28463632,0.20334734,0.23992158,0.23944865,0.24173357,0.260319,0.29133934,0.22233674,0.29013005,0.19497098,0.21956365,0.19797552,0.29688096,0.22637603,0.22584341,0.21021031,0.2247239,0.24065126,0.28004548,0.2630182,0.2682491,0.19364224,0.2602797,0.20447445,0.24923837,0.26485366,0.25992292,0.23904216,0.21490777,0.22031817,0.22464003,0.22688876,0.20651713,0.29888737,0.24003203,0.23687829,0.25894743,0.19252458,0.30944815,0.28950813,0.20906913,0.23813628,0.26413116,0.19931053,0.20898804,0.29194456,0.2529638,0.22734682,0.29139692,0.2773661,0.30333388,0.26081017,0.24064352,0.24366362,0.2071293,0.2585564,0.2292477,0.2283213,0.2714297,0.19857901,0.17597364,0.22445837,0.25144765,0.20823842,0.21568675,0.24764249,0.27481428,0.25013864,0.18454076,0.17836174,0.26538855,0.26888707,0.18338032,0.2027636,0.24290678,0.20234363,0.22540192,0.23084034,0.20591497,0.19763607,0.20788945,0.25656605,0.20949388,0.25029546,0.18842135,0.2379799,0.21216516,0.23791394,0.2130932,0.21313852,0.2534022,0.22377458
0,Cardboard,0.20859341,0.268292,0.18904532,0.24718118,0.20719402,0.21360229,0.2451629,0.22407189,0.2108653,0.20662443,0.22835049,0.19800752,0.23696916,0.21950455,0.18532583,0.21865179,0.24698974,0.21385789,0.18235496,0.27327675,0.19827251,0.20139937,0.20071022,0.20749733,0.2713906,0.2088075,0.19045664,0.21348011,0.26473448,0.19789818,0.21600208,0.23773518,0.18684572,0.2122895,0.20307404,0.24484207,0.28401494,0.20276171,0.23928714,0.23883237,0.24113607,0.25969332,0.2907379,0.22171894,0.28948015,0.19439857,0.21897988,0.19739285,0.29624033,0.22579175,0.22524229,0.20966521,0.22408612,0.24003784,0.27940664,0.26237428,0.2676356,0.19306734,0.25967157,0.20387234,0.24864766,0.26423714,0.2592994,0.23843803,0.21431744,0.21968849,0.22407676,0.2262944,0.2059328,0.29826152,0.23942988,0.23627041,0.25831085,0.19198178,0.30880654,0.28889483,0.20849358,0.23754962,0.26349875,0.19870529,0.20840071,0.29135308,0.2523346,0.2267538,0.29077834,0.27674067,0.30270484,0.26018187,0.23999122,0.2430578,0.20653272,0.25794062,0.22863632,0.22769436,0.27085638,0.19798402,0.17539425,0.22388674,0.25085598,0.20762295,0.21511802,0.24705221,0.2742101,0.24952506,0.1839597,0.17777956,0.26478866,0.26826972,0.18281806,0.2021914,0.24227756,0.2017612,0.22479491,0.23020269,0.20533182,0.19709308,0.2073145,0.25591302,0.2088992,0.24968368,0.18783648,0.2373675,0.21157931,0.23730405,0.21250665,0.21254846,0.25278217,0.2231862
0,Cardboard,0.2052895,0.26464853,0.18556118,0.24351268,0.20358378,0.21017814,0.24165191,0.22047566,0.20740648,0.20320551,0.22455667,0.19478026,0.23355992,0.21615998,0.18206795,0.21519333,0.2434583,0.2103032,0.17896186,0.26962763,0.19489244,0.19808017,0.19723707,0.20393759,0.2677373,0.20519415,0.1871264,0.21019678,0.26096186,0.19467421,0.21267211,0.23435679,0.18352506,0.20887741,0.1996627,0.2410603,0.28037745,0.19934404,0.23557828,0.23522998,0.23764369,0.25603187,0.28721827,0.21810925,0.28567228,0.19105865,0.2155709,0.19399352,0.2924847,0.22237937,0.22173049,0.20648433,0.22035854,0.23645155,0.27566627,0.25860536,0.26404756,0.18971342,0.25611535,0.20035654,0.24519628,0.26063058,0.25565344,0.23490693,0.21086977,0.21600978,0.22078928,0.22282378,0.2025215,0.29459688,0.23591067,0.2327186,0.25458443,0.18881375,0.30504745,0.2853039,0.2051341,0.23412234,0.25979877,0.19517285,0.20497146,0.28789228,0.24865365,0.22329025,0.28715792,0.2730803,0.2990213,0.25650758,0.23617683,0.23951755,0.20305072,0.2543398,0.22506438,0.22402954,0.26750618,0.19451189,0.17201589,0.22054791,0.24739559,0.20402761,0.21179822,0.24360421,0.27067244,0.24593706,0.18057105,0.17438512,0.2612785,0.2646577,0.1795393,0.19885273,0.23859899,0.1983611,0.22124912,0.2264767,0.20192939,0.19392477,0.20395815,0.25209102,0.20542806,0.24610792,0.18442361,0.2337868,0.20815854,0.23373772,0.20908156,0.20910406,0.24915516,0.21974881
0,Cardboard,0.15400416,0.2060076,0.1320465,0.18523909,0.14770462,0.15656072,0.18591781,0.16412625,0.15347803,0.15015638,0.16483991,0.14482804,0.17970307,0.16385275,0.13210894,0.16113137,0.18724199,0.15486538,0.12716015,0.2106097,0.14269467,0.14668609,0.14350916,0.14856492,0.20897442,0.1491823,0.13581376,0.15877691,0.2003888,0.144733,0.1606307,0.18075669,0.13253163,0.1555314,0.14681548,0.1808408,0.22134544,0.14642826,0.1769551,0.17825529,0.18213116,0.1971999,0.23001494,0.16160162,0.2236835,0.13952975,0.16210954,0.14154702,0.23095965,0.16856417,0.16653046,0.1568549,0.16191389,0.17953356,0.21508262,0.19812302,0.20646591,0.13808659,0.1992379,0.14592905,0.19028531,0.20272978,0.19740883,0.1789591,0.15694909,0.15857738,0.16918066,0.16832961,0.14948106,0.23481423,0.18028343,0.17664601,0.19485253,0.13969499,0.24341673,0.22678262,0.15286121,0.17985055,0.20058225,0.14068764,0.1515076,0.2316798,0.18983187,0.16878015,0.22837654,0.21381702,0.2388597,0.19773723,0.17588504,0.18334761,0.14908601,0.19688663,0.16881308,0.1664884,0.213702,0.14096908,0.12075142,0.16797583,0.19206516,0.14808549,0.15991604,0.18883021,0.21336229,0.18877202,0.12882891,0.1228332,0.20480488,0.20658681,0.12934357,0.14711328,0.18032356,0.14562042,0.16564232,0.16795188,0.14922896,0.1447601,0.15165034,0.19096868,0.15143627,0.1892164,0.13210297,0.17704661,0.15482044,0.1771939,0.15567192,0.15551192,0.19126625,0.16578749
0,Cardboard,0.1489215,0.19997269,0.12685423,0.17935242,0.14223358,0.15122694,0.18027027,0.15850547,0.14813648,0.14492059,0.15890138,0.13989483,0.17425977,0.15861998,0.12724057,0.1557472,0.18153599,0.14938217,0.122167476,0.2045304,0.1375723,0.14161782,0.1382424,0.14311588,0.20294666,0.1436907,0.13080327,0.15363224,0.19420494,0.13979223,0.15544207,0.17532131,0.12756565,0.15022753,0.14160739,0.17477585,0.21522471,0.14122531,0.17106771,0.17251576,0.17649962,0.19117942,0.22405468,0.15599082,0.21726057,0.1344802,0.15675902,0.13640736,0.22455046,0.16314176,0.16100739,0.15190098,0.15611175,0.17377296,0.20882381,0.1919602,0.20056026,0.13304308,0.19342896,0.14059152,0.18468823,0.19679382,0.19147158,0.17330912,0.15159322,0.15290008,0.1639868,0.16286935,0.14423634,0.22857398,0.1746817,0.1710039,0.18878086,0.13485067,0.23696168,0.22068292,0.14768782,0.17434704,0.19454475,0.1353696,0.14620554,0.22582579,0.1838496,0.16330457,0.22226313,0.20768338,0.23257992,0.19173992,0.16984548,0.17765905,0.14376697,0.19104508,0.16317229,0.16076207,0.2081326,0.13573718,0.11584015,0.16268867,0.18641315,0.14257757,0.15474103,0.18325046,0.20743501,0.1829712,0.12382304,0.117881164,0.19900516,0.20063385,0.12446648,0.1420054,0.17445293,0.14042619,0.1600949,0.16212448,0.14403223,0.13989773,0.14645794,0.18476579,0.1460922,0.18344189,0.12703222,0.17132924,0.14952865,0.1714958,0.15037906,0.15020704,0.18538918,0.1603953
0,Cardboard,0.14031345,0.18964928,0.11812685,0.16934331,0.13301443,0.14219499,0.17065376,0.14897548,0.13910079,0.13607018,0.14885913,0.13154674,0.16499351,0.14973354,0.11903705,0.14662096,0.17181508,0.14011398,0.11378878,0.194138,0.12892723,0.13304895,0.12936164,0.13392043,0.19265169,0.13443361,0.122360826,0.14489557,0.183664,0.13142735,0.14664423,0.16606236,0.11920274,0.1412463,0.13280562,0.16448405,0.20473999,0.13244185,0.1610746,0.16275978,0.16690654,0.18090743,0.21382353,0.1464964,0.20626679,0.12596063,0.14767474,0.12773712,0.2135682,0.15392011,0.15163666,0.14348984,0.14629857,0.16396478,0.1981159,0.18146448,0.19046997,0.12454279,0.18351947,0.13158993,0.17513439,0.18665464,0.18134815,0.16369978,0.14252947,0.1433082,0.15514797,0.15359849,0.13536553,0.21786138,0.16516182,0.16141634,0.17844655,0.12666085,0.22587654,0.21021706,0.1389361,0.16496426,0.18425111,0.1264145,0.13723077,0.21578155,0.17365901,0.15400115,0.21177593,0.19717748,0.22180368,0.1815121,0.1596066,0.16797438,0.13477725,0.18109463,0.15359715,0.15106845,0.19857693,0.12692197,0.10761022,0.1537004,0.17676459,0.13328286,0.14596306,0.17372857,0.19728647,0.17309467,0.115407966,0.1095746,0.18909483,0.19046961,0.11625698,0.13336638,0.16447969,0.1316523,0.15069303,0.1522614,0.13524832,0.1316692,0.1376656,0.17421396,0.13705176,0.17360719,0.1185101,0.16161434,0.14057072,0.16181214,0.14142461,0.14123262,0.17538434,0.15124899
0,Cardboard,0.2035267,0.26269466,0.18369697,0.24154675,0.20165175,0.2083458,0.23977302,0.21854928,0.20555784,0.20137995,0.22252081,0.19305813,0.23174046,0.2143742,0.18032938,0.21334481,0.24156742,0.20840093,0.17714864,0.2676695,0.19308712,0.19630884,0.19538009,0.20203069,0.26577944,0.2032606,0.18534727,0.2084432,0.25893763,0.19295384,0.21089555,0.23255071,0.18175052,0.2070531,0.19783884,0.23902743,0.2784267,0.19751893,0.23359025,0.2333001,0.23577361,0.25406656,0.28533277,0.21617699,0.2836259,0.18927482,0.21374767,0.19217885,0.29046208,0.220555,0.21985084,0.20478795,0.21835844,0.2345279,0.27365744,0.25658283,0.26212546,0.18792246,0.25421104,0.19847612,0.243351,0.25869843,0.25369996,0.23301652,0.20902668,0.2140403,0.21903665,0.22096945,0.2006987,0.29262912,0.23402894,0.23081774,0.2525834,0.18712246,0.3030272,0.2833766,0.20334074,0.23228964,0.2578136,0.19328324,0.20313762,0.28604078,0.24667999,0.22143915,0.28521675,0.27111682,0.2970447,0.25453666,0.23413101,0.23762466,0.20118882,0.25241122,0.22315271,0.22206552,0.26571688,0.1926555,0.170212,0.21876441,0.24554257,0.20210114,0.21002762,0.24176215,0.26877433,0.24401538,0.17876127,0.17257148,0.2593984,0.2627204,0.17778887,0.19707036,0.23662905,0.19654283,0.219352,0.22448027,0.20011386,0.19223405,0.20216452,0.25003928,0.20357274,0.24419479,0.18259905,0.23186775,0.20633078,0.23182657,0.20725043,0.20726526,0.24721175,0.2179111
