Density,Hardness,Rigidity,Strength
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
0.7,100,20,3.3
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
4,2000,330,2703
